id,group.hc2
TNFa,1
IL12,1
IFNb,1
TNFR,1
TRAF2,1
TAK1,1
NIK,1
IKK,1
IRF5,1
MKK36,1
p38,1
ATF2,1
ELK1,1
MKK47,1
JNK,1
cJun,1
IFNbR,1
JAKIFNbR,1
IL12Rb1,1
STAT4,1
IFNg_mrna,1
IL1,2
CREB,2
CEBPbeta,2
TSG6,2
CYP19,2
IL1R,2
ERK12,2
cFos,2
IL1_mrna,2
IL6_mrna,2
SOCS3_mrna,2
MyD88,2
IL6,3
LPS,3
SP1,3
MMP3_mrna,3
MMP7_mrna,3
MMP9_mrna,3
cRaf,3
SOS,3
Ras,3
MEK12,3
ETS1,3
MMP3,3
MMP7,3
MMP9,3
AP1,3
GP130,3
IL6R,3
JAK2,3
GRB2,3
SOCS3,3
CD14,3
TLR4,3
TRIF,3
IRF3,3
CCL5_mrna,3
IRAK4,3
IRAK1,3
TAB1,3
TRAF6,3
SHP2,3
JAK13_IL4,3
CCL17,3
Arg1,3
CD23,3
AMAC1,3
Fizz1,3
Ym1,3
IL1_trans,3
IL6_trans,3
IFNg_trans,3
IL12_trans,3
IFNb_trans,3
IL4R_trans,3
IFNg,4
iNOS,4
COX2,4
CXCL10,4
cAMP,4
PKA,4
STAT3,4
A2M_mrna,4
CRP_mrna,4
VEGF_mrna,4
BCL3,4
IFNgR,4
GSK3,4
JAK12_IFNg,4
SOCS1,4
IL4Ra_mrna,4
TNFa_trans,4
IL10_trans,4
IKB_trans,4
IL4,5
MMP12_mrna,5
Myc_mrna,5
IL4R,5
STAT6,5
CCL17_mrna,5
PPARg_mrna,5
PPARg,5
Arg1_mrna,5
CD23_mrna,5
AMAC1_mrna,5
KLF4_mrna,5
KLF4,5
Fizz1_mrna,5
Ym1_mrna,5
IL12_mrna,6
IL10_mrna,6
IFNb_mrna,6
NFKB,6
TNFa_mrna,6
IL15_mrna,6
GMCSF_mrna,6
Mcpt1_mrna,6
IL8_mrna,6
IL18_mrna,6
IKBa_mrna,6
iNOS_mrna,6
COX2_mrna,6
CXCL10_mrna,6
STAT1,6
IRF1,6
IRF1_mrna,6
SMAD7_mrna,6
ICAM1_mrna,6
IL10,7
PI3K,7
AKT,7
MCL1,7
IL10R,7
JAK1IL10R,7
IKB,8
SOCS1_mrna,8
