Node,Module#,Module Names
TNFa,1,TNFa
TNFR,1,TNFa
TRAF2,1,TNFa
IL1,2,TLR4
LPS,2,TLR4
IL1R,2,TLR4
IL1_mrna,2,TLR4
CD14,2,TLR4
TLR4,2,TLR4
TRIF,2,TLR4
IRF3,2,TLR4
CCL5_mrna,2,TLR4
MyD88,2,TLR4
IL6,3,IL6/IL10
IL10,3,IL6/IL10
GP130,3,IL6/IL10
IL6R,3,IL6/IL10
JAK2,3,IL6/IL10
SHP2,3,IL6/IL10
IL10R,3,IL6/IL10
JAK1IL10R,3,IL6/IL10
IFNg,5,IFNg
IFNgR,5,IFNg
JAK12_IFNg,5,IFNg
IL4,6,STAT6
MMP12_mrna,6,STAT6
GRB2,6,STAT6
Myc_mrna,6,STAT6
IL4R,6,STAT6
JAK13_IL4,6,STAT6
STAT6,6,STAT6
CCL17_mrna,6,STAT6
CCL17,6,STAT6
PPARg_mrna,6,STAT6
PPARg,6,STAT6
Arg1_mrna,6,STAT6
Arg1,6,STAT6
CD23_mrna,6,STAT6
CD23,6,STAT6
AMAC1_mrna,6,STAT6
AMAC1,6,STAT6
KLF4_mrna,6,STAT6
KLF4,6,STAT6
Fizz1_mrna,6,STAT6
Fizz1,6,STAT6
Ym1_mrna,6,STAT6
Ym1,6,STAT6
IL4R_trans,6,STAT6
IL12,7,STAT4
IL12Rb1,7,STAT4
STAT4,7,STAT4
IFNg_mrna,7,STAT4
IL12_mrna,8,TNFamrna
IL10_mrna,8,TNFamrna
TNFa_mrna,8,TNFamrna
iNOS_mrna,8,TNFamrna
CXCL10_mrna,8,TNFamrna
IFNb,10,IFNb
IFNbR,10,IFNb
JAKIFNbR,10,IFNb
IFNb_mrna,11,STAT1
STAT1,11,STAT1
IRF1,11,STAT1
IRF1_mrna,11,STAT1
SMAD7_mrna,11,STAT1
ICAM1_mrna,11,STAT1
TAK1,12,MAPKs
NIK,12,MAPKs
IKK,12,MAPKs
IRF5,12,MAPKs
MKK36,12,MAPKs
p38,12,MAPKs
SP1,12,MAPKs
ATF2,12,MAPKs
ELK1,12,MAPKs
MMP3_mrna,12,MAPKs
MMP7_mrna,12,MAPKs
MMP9_mrna,12,MAPKs
cRaf,12,MAPKs
MEK12,12,MAPKs
ETS1,12,MAPKs
MMP3,12,MAPKs
MMP7,12,MAPKs
MMP9,12,MAPKs
MKK47,12,MAPKs
JNK,12,MAPKs
cJun,12,MAPKs
AP1,12,MAPKs
SOCS3,12,MAPKs
IRAK4,12,MAPKs
IRAK1,12,MAPKs
TAB1,12,MAPKs
TRAF6,12,MAPKs
IL1_trans,12,MAPKs
IL6_trans,12,MAPKs
IFNb_trans,12,MAPKs
IKB,13,IKB
NFKB,14,NF-kB
IL15_mrna,14,NF-kB
GMCSF_mrna,14,NF-kB
Mcpt1_mrna,14,NF-kB
IL8_mrna,14,NF-kB
IL18_mrna,14,NF-kB
IKBa_mrna,14,NF-kB
COX2_mrna,14,NF-kB
iNOS,15,PKA
COX2,15,PKA
CXCL10,15,PKA
cAMP,15,PKA
PKA,15,PKA
TNFa_trans,15,PKA
IL10_trans,15,PKA
IKB_trans,15,PKA
CREB,16,CREB
CEBPbeta,16,CREB
TSG6,16,CREB
CYP19,16,CREB
ERK12,16,CREB
cFos,16,CREB
IL6_mrna,16,CREB
SOCS3_mrna,16,CREB
SOS,18,RAS
Ras,18,RAS
IFNg_trans,18,RAS
IL12_trans,18,RAS
STAT3,21,STAT3
A2M_mrna,21,STAT3
CRP_mrna,21,STAT3
VEGF_mrna,21,STAT3
BCL3,21,STAT3
SOCS1,21,STAT3
IL4Ra_mrna,21,STAT3
PI3K,22,PI3K
AKT,22,PI3K
MCL1,22,PI3K
GSK3,23,GSK3
SOCS1_mrna,24,SOCS1mrna
